prompt, label
"condition: When I get married, All posts: [I love you;I love you too;The love of my life]","no"
"condition: When I get married, All posts: [divorce sucks]","no"
"condition: When I get married, All posts: [today I linked my life to the person I love the most for the rest of our life!]","yes"
"condition: When I get married, All posts: [can't wait for the big day! #wedding;just married!]","yes"
"condition: When I get married, All posts: [My sex life has never been so great]","no"
"condition: When I get married, All posts: [Weddings are a scam]","no"
"condition: When I get married, All posts: [Big wedding on Sunday;getting ready!]","no"
"condition: When I get married, All posts: [Our wedding this weekend]","yes"
"condition: When I get married, All posts: [My dad got married again]","no"
"condition: When I get married, All posts: [Finally tied the knot with my soulmate!]","yes"
"condition: When I get married, All posts: [Going dress shopping for my sister's wedding]","no"
"condition: When I get married, All posts: [Celebrating our anniversary from the day we said 'I do']","yes"
"condition: When I get married, All posts: [Can't believe it's been a year since I got married]","yes"
"condition: When I get married, All posts: [My friend is getting married next week]","no"
"condition: When I get married, All posts: [Walking down the aisle tomorrow!]","yes"
"condition: When I get married, All posts: [Marriage is just a piece of paper]","no"
"condition: When I get married, All posts: [Starting the rest of my life with my partner today]","yes"
"condition: When I get married, All posts: [My cousin's wedding was beautiful]","yes"
"condition: When I get married, All posts: [I can't believe I'm a married person now!]","yes"
"condition: When I get married, All posts: [My dad got married again;I am a lost cause]","no"
"condition: When I get a promotion at work, All posts: [Got a raise today!]","no"
"condition: When I get a promotion at work, All posts: [I'm now the manager of my department!]","yes"
"condition: When I get a promotion at work, All posts: [My colleague just got promoted;proud of them!]","no"
"condition: When I get a promotion at work, All posts: [I can't believe I finally got that promotion!]","yes"
"condition: When I get a promotion at work, All posts: [New responsibilities come with my promotion!]","yes"
"condition: When I get a promotion at work, All posts: [My boss gave me a great review today]","no"
"condition: When I get a promotion at work, All posts: [After years of hard work;I’ve been promoted to senior analyst!]","yes"
"condition: When I get a promotion at work, All posts: [It's official;I'm now a team lead!]","yes"
"condition: When I get a promotion at work, All posts: [Congrats to my friend who just got promoted!]","no"
"condition: When I get a promotion at work, All posts: [Moving up the corporate ladder feels great]","yes"
"condition: When I have a baby, All posts: [My sister just had a baby!]","no"
"condition: When I have a baby, All posts: [I’m officially a parent now!]","yes"
"condition: When I have a baby, All posts: [Can't believe our baby is finally here!]","yes"
"condition: When I have a baby, All posts: [Babies are so cute but exhausting!]","no"
"condition: When I have a baby, All posts: [My best friend just became a mom!]","no"
"condition: When I have a baby, All posts: [I can't wait to meet my newborn!]","yes"
"condition: When I have a baby, All posts: [Parenthood is a lot harder than I thought]","yes"
"condition: When I have a baby, All posts: [My little one just turned one month old!]","yes"
"condition: When I move to a new house, All posts: [Helping my friend move to their new house this weekend]","no"
"condition: When I move to a new house, All posts: [We just moved into our dream home!]","yes"
"condition: When I move to a new house, All posts: [Can’t wait to settle into my new place!]","yes"
"condition: When I move to a new house, All posts: [Finally unpacked all the boxes in the new house]","yes"
"condition: When I move to a new house, All posts: [My sister bought a new house in the suburbs]","no"
"condition: When I move to a new house, All posts: [Housewarming party this weekend at our new place!]","yes"
"condition: When I move to a new house, All posts: [Packing for our move tomorrow]","yes"
"condition: When I move to a new house, All posts: [My cousin’s new apartment is so fancy!]","no"
"condition: When I graduate, All posts: [Finally, I graduated with honors today!]","yes"
"condition: When I graduate, All posts: [So proud of my friend who just graduated!]","no"
"condition: When I graduate, All posts: [Walking across the stage tomorrow for graduation!]","yes"
"condition: When I graduate, All posts: [My sister's graduation ceremony was beautiful!]","no"
"condition: When I graduate, All posts: [I can’t believe I’m officially done with university!]","yes"
"condition: When I graduate, All posts: [Graduation day is here, time to celebrate!]","yes"
"condition: When I graduate, All posts: [Throwback to my graduation day last year]","yes"
"condition: When I graduate, All posts: [Congrats to everyone graduating this semester!]","no"
"condition: When I get a new job, All posts: [I just got an offer for my dream job!]","yes"
"condition: When I get a new job, All posts: [My friend just started a new job at a great company]","no"
"condition: When I get a new job, All posts: [Starting my new role as a software engineer next week!]","yes"
"condition: When I get a new job, All posts: [First day at my new job today, wish me luck!]","yes"
"condition: When I get a new job, All posts: [Got hired at a great company, can’t wait to start!]","yes"
"condition: When I get a new job, All posts: [So happy for my brother, who just landed a new position]","no"
"condition: When I get a new job, All posts: [Excited to join the team at my new workplace!]","yes"
"condition: When I get a new job, All posts: [My friend got a new job at a top firm]","no"
"condition: When I move abroad, All posts: [Just booked my one-way ticket;next stop, Paris!]","yes"
"condition: When I move abroad, All posts: [My best friend is moving to Italy soon]","no"
"condition: When I move abroad, All posts: [Starting my new life in Japan next week!]","yes"
"condition: When I move abroad, All posts: [Moved to London today;time to explore the city!]","yes"
"condition: When I move abroad, All posts: [My brother is packing up to live in Germany]","no"
"condition: When I move abroad, All posts: [Can't believe I’m officially living in another country now]","yes"
"condition: When I move abroad, All posts: [Visiting my friend who just moved abroad]","no"
"condition: When I move abroad, All posts: [Saying goodbye to my hometown;next stop, Singapore]","yes"
"condition: When I go on holiday, All posts: [Just arrived in Bali;let the vacation begin!]","yes"
"condition: When I go on holiday, All posts: [My parents are going on a holiday to Spain]","no"
"condition: When I go on holiday, All posts: [Can't wait to relax on the beach;vacation mode on!]","yes"
"condition: When I go on holiday, All posts: [My friend is off on a tropical holiday next week]","no"
"condition: When I go on holiday, All posts: [Off to Italy for a week of sun and adventure!]","yes"
"condition: When I go on holiday, All posts: [My colleague just got back from their vacation in Greece]","no"
"condition: When I go on holiday, All posts: [Finally taking a break;vacation starts tomorrow!]","yes"
"condition: When I go on holiday, All posts: [My sister's holiday pictures from Hawaii look amazing]","no"
"condition: When I win an ETHGlobal hackathon, All posts: [We did it! Our team just won the ETHGlobal hackathon!]","yes"
"condition: When I win an ETHGlobal hackathon, All posts: [My friend’s team just won the ETHGlobal hackathon!]","no"
"condition: When I win an ETHGlobal hackathon, All posts: [Can't believe we won first place at ETHGlobal!]","yes"
"condition: When I win an ETHGlobal hackathon, All posts: [Congrats to everyone who participated;what an amazing event!]","no"
"condition: When I win an ETHGlobal hackathon, All posts: [Our project took home the prize at ETHGlobal! So proud of the team!]","yes"
"condition: When I win an ETHGlobal hackathon, All posts: [Shout out to the winners of ETHGlobal;well deserved!]","no"
"condition: When I win an ETHGlobal hackathon, All posts: [Winning ETHGlobal is a dream come true!]","yes"
"condition: When I win an ETHGlobal hackathon, All posts: [The ETHGlobal hackathon winners were so impressive this year]","no"
